iter	RMSE
0	17.47015128
1	15.90861011
2	14.50611916
3	13.24635181
4	12.08487187
5	11.07669181
6	10.24201108
7	9.391198559
8	8.622483959
9	7.911252376
10	7.312183923
11	6.761468619
12	6.227408345
13	5.784735296
14	5.414724382
15	5.037209679
16	4.700235943
17	4.38951707
18	4.101078124
19	3.85532667
20	3.631095505
21	3.442712539
22	3.273282608
23	3.134696077
24	3.006217662
25	2.891630965
26	2.796534511
27	2.714974596
28	2.635945072
29	2.570563299
30	2.513513968
31	2.465783328
32	2.421982586
33	2.382861838
34	2.350961792
35	2.322271085
36	2.296546678
37	2.27467469
38	2.256340392
39	2.238463046
40	2.225044961
41	2.211922964
42	2.199673194
43	2.188904036
44	2.176914659
45	2.168900066
46	2.160681815
47	2.153977279
48	2.147734694
49	2.143422351
50	2.139829914
51	2.135209846
52	2.131271449
53	2.124698238
54	2.120851053
55	2.118287603
56	2.116191331
57	2.113283422
58	2.109634261
59	2.106780647
60	2.101773533
61	2.098412718
62	2.096680772
63	2.09344626
64	2.089985385
65	2.088278226
66	2.086114546
67	2.084657702
68	2.083242284
69	2.081864273
70	2.080591331
71	2.079412073
72	2.078208327
73	2.076557987
74	2.075098929
75	2.074186707
76	2.072374114
77	2.069545982
78	2.068435356
79	2.065870212
80	2.065165491
81	2.063762921
82	2.062812599
83	2.061704369
84	2.059761557
85	2.059425558
86	2.057842029
87	2.057028739
88	2.055062253
89	2.05410317
90	2.053266287
91	2.051286815
92	2.050170479
93	2.048210167
94	2.047612121
95	2.046161964
96	2.044447739
97	2.043440418
98	2.042042283
99	2.041099103
