iter	Passed	Remaining
0	8	810
1	17	848
2	22	734
3	26	640
4	30	575
5	33	531
6	36	490
7	39	459
8	42	426
9	44	398
10	46	373
11	48	352
12	50	334
13	51	317
14	53	302
15	55	289
16	56	277
17	58	266
18	59	255
19	61	246
20	63	237
21	64	229
22	66	221
23	67	214
24	69	208
25	71	202
26	72	196
27	74	190
28	75	185
29	77	180
30	78	175
31	80	171
32	82	166
33	83	162
34	85	158
35	86	154
36	88	150
37	89	146
38	91	143
39	93	139
40	94	136
41	96	132
42	97	129
43	99	126
44	100	123
45	102	120
46	104	117
47	105	114
48	107	111
49	108	108
50	109	105
51	111	102
52	112	100
53	114	97
54	116	94
55	117	92
56	119	89
57	120	87
58	122	85
59	123	82
60	125	80
61	127	77
62	128	75
63	130	73
64	131	71
65	133	68
66	134	66
67	136	64
68	137	61
69	139	59
70	141	57
71	142	55
72	144	53
73	145	51
74	147	49
75	148	47
76	150	44
77	152	42
78	153	40
79	155	38
80	156	36
81	158	34
82	159	32
83	161	30
84	163	28
85	164	26
86	165	24
87	167	22
88	168	20
89	170	18
90	171	17
91	173	15
92	175	13
93	176	11
94	178	9
95	179	7
96	181	5
97	182	3
98	184	1
99	186	0
