iter	RMSE
0	18.20928231
1	17.27912994
2	16.40695122
3	15.58604591
4	14.79557937
5	14.054213
6	13.43041248
7	12.77744034
8	12.13964503
9	11.54791951
10	10.99060482
11	10.46456944
12	9.955538638
13	9.49833165
14	9.077690116
15	8.665084202
16	8.269176457
17	7.890247018
18	7.527983939
19	7.17320474
20	6.852371517
21	6.549141469
22	6.264128345
23	5.98597448
24	5.738121965
25	5.503273173
26	5.283590578
27	5.07381007
28	4.883202134
29	4.692212697
30	4.510745568
31	4.352852969
32	4.202818347
33	4.051398064
34	3.915895758
35	3.787019567
36	3.662475901
37	3.548069126
38	3.44287691
39	3.341887811
40	3.254301297
41	3.165317888
42	3.080748176
43	3.009239229
44	2.94042832
45	2.878713997
46	2.816566762
47	2.763645428
48	2.71246206
49	2.667826855
50	2.625111152
51	2.584346301
52	2.547639811
53	2.512298628
54	2.479725252
55	2.453593283
56	2.426458425
57	2.399178996
58	2.375781019
59	2.351743717
60	2.331248772
61	2.312042233
62	2.29302713
63	2.275864818
64	2.260034855
65	2.245969784
66	2.233724793
67	2.222074267
68	2.210161852
69	2.199225044
70	2.18886987
71	2.180003234
72	2.17247392
73	2.164532265
74	2.157148422
75	2.149845078
76	2.143915008
77	2.138812456
78	2.133763999
79	2.128570618
80	2.123512177
81	2.119224126
82	2.11388543
83	2.109572605
84	2.105363515
85	2.101794649
86	2.097702374
87	2.094492396
88	2.091193472
89	2.088098385
90	2.085293175
91	2.082853083
92	2.080389694
93	2.078287964
94	2.076239177
95	2.074113816
96	2.072097688
97	2.070255092
98	2.068875155
99	2.06695913
100	2.065278449
101	2.064028852
102	2.062645117
103	2.06132034
104	2.059855474
105	2.059394701
106	2.05790098
107	2.056676361
108	2.055511909
109	2.054331462
110	2.053442587
111	2.052275019
112	2.051324026
113	2.050303025
114	2.049490555
115	2.048733413
116	2.047897436
117	2.047123657
118	2.04647526
119	2.045660469
120	2.044660208
121	2.0439457
122	2.043199007
123	2.043125136
124	2.042461712
125	2.041846428
126	2.041311159
127	2.040694567
128	2.040165061
129	2.039523273
130	2.038661434
131	2.038141686
132	2.037416556
133	2.036936738
134	2.036476411
135	2.036067066
136	2.035646474
137	2.035163196
138	2.034428353
139	2.034094811
140	2.033667934
141	2.033138344
142	2.032675135
143	2.031981002
144	2.031667994
145	2.031189473
146	2.030725415
147	2.030401138
148	2.0300346
149	2.02976233
150	2.029395123
151	2.029072455
152	2.028704321
153	2.028355661
154	2.027794776
155	2.027280802
156	2.026522616
157	2.025875622
158	2.024997932
159	2.024547644
160	2.023865426
161	2.02349922
162	2.022989067
163	2.022080592
164	2.021411581
165	2.021023777
166	2.020361995
167	2.019787779
168	2.019745481
169	2.018990333
170	2.018176852
171	2.017763796
172	2.017203992
173	2.016402932
174	2.016127204
175	2.01570021
176	2.015283348
177	2.014680974
178	2.01410435
179	2.013585222
180	2.013104388
181	2.012798541
182	2.012524092
183	2.012031582
184	2.011730631
185	2.011379635
186	2.010693592
187	2.01005671
188	2.009353821
189	2.00899955
190	2.00841711
191	2.007956652
192	2.007564523
193	2.007178121
194	2.006697946
195	2.006068635
196	2.00556604
197	2.005184884
198	2.004812766
199	2.004339194
200	2.004067477
201	2.003498896
202	2.003225241
203	2.00269984
204	2.00231149
205	2.001934999
206	2.001313249
207	2.001000964
208	2.000573185
209	2.000180027
210	1.999809326
211	1.999335741
212	1.998813658
213	1.99859097
214	1.998088936
215	1.99755756
216	1.997068144
217	1.996627197
218	1.996348696
219	1.996025728
220	1.995701719
221	1.995219405
222	1.994853609
223	1.994353674
224	1.993973885
225	1.993627251
226	1.993115349
227	1.992653955
228	1.99227598
229	1.991961338
230	1.991616001
231	1.991402161
232	1.991001612
233	1.990626781
234	1.990360667
235	1.990012018
236	1.989811167
237	1.989544628
238	1.989310455
239	1.988940738
240	1.988476712
241	1.988080002
242	1.987631668
243	1.987164393
244	1.986915706
245	1.986640835
246	1.986185742
247	1.985948911
248	1.985595262
249	1.985303455
250	1.985008275
251	1.984744539
252	1.9843723
253	1.983964362
254	1.983595314
255	1.983148809
256	1.982861089
257	1.982661572
258	1.982380608
259	1.982016048
260	1.981597945
261	1.981282047
262	1.980944591
263	1.980556934
264	1.980110468
265	1.979792353
266	1.979596352
267	1.97929353
268	1.979009824
269	1.978794061
270	1.978510957
271	1.97815843
272	1.977757966
273	1.977421379
274	1.976927571
275	1.976584525
276	1.976178451
277	1.975914153
278	1.975713877
279	1.97538004
280	1.974949916
281	1.974612369
282	1.974256757
283	1.973837257
284	1.973512185
285	1.973179462
286	1.972819381
287	1.972618274
288	1.972234504
289	1.971904522
290	1.971529394
291	1.971200869
292	1.970742551
293	1.970396284
294	1.969919903
295	1.9695086
296	1.969324423
297	1.969069333
298	1.968677353
299	1.96839195
300	1.968029225
301	1.967687987
302	1.967451121
303	1.967127173
304	1.966789832
305	1.966416754
306	1.96622891
307	1.965875949
308	1.96548812
309	1.965123417
310	1.964679955
311	1.96435801
312	1.964021766
313	1.963566246
314	1.963293683
315	1.963020372
316	1.96265753
317	1.962209414
318	1.961941688
319	1.961697868
320	1.96140025
321	1.960996543
322	1.960683075
323	1.960437546
324	1.960159323
325	1.959822211
326	1.959503748
327	1.95913545
328	1.958882815
329	1.958520201
330	1.958170036
331	1.957893434
332	1.957557482
333	1.957216667
334	1.956770069
335	1.956415642
336	1.956092135
337	1.955898439
338	1.955535035
