iter	Passed	Remaining
0	129	128914
1	131	65424
2	133	44272
3	135	33798
4	138	27556
5	140	23256
6	142	20172
7	144	17928
8	146	16175
9	149	14766
10	151	13645
11	154	12683
12	155	11833
13	157	11098
14	159	10486
15	161	9937
16	164	9507
17	166	9086
18	168	8687
19	169	8329
20	171	8001
21	173	7704
22	175	7456
23	178	7244
24	180	7022
25	181	6808
26	183	6612
27	185	6431
28	187	6261
29	188	6107
30	191	5971
31	192	5829
32	194	5696
33	196	5582
34	198	5482
35	200	5377
36	202	5268
37	204	5168
38	206	5079
39	208	4995
40	210	4913
41	211	4831
42	213	4754
43	215	4680
44	217	4608
45	218	4539
46	220	4475
47	222	4418
48	224	4365
49	226	4311
50	228	4254
51	230	4200
52	232	4147
53	233	4098
54	235	4050
55	238	4018
56	240	3975
57	242	3934
58	243	3890
59	245	3850
60	247	3810
61	249	3775
62	251	3737
63	253	3704
64	255	3673
65	257	3639
66	259	3606
67	260	3575
68	262	3546
69	264	3515
70	266	3487
71	268	3458
72	270	3434
73	272	3408
74	274	3382
75	276	3356
76	277	3331
77	279	3309
78	281	3284
79	283	3262
80	285	3243
81	287	3221
82	289	3200
83	291	3181
84	293	3162
85	295	3142
86	297	3122
87	299	3104
88	301	3086
89	303	3069
90	305	3052
91	307	3033
92	309	3015
93	311	2997
94	313	2982
95	314	2964
96	317	2951
97	319	2936
98	321	2922
99	322	2906
100	324	2892
101	326	2877
102	328	2863
103	330	2849
104	332	2837
105	334	2819
106	336	2806
107	338	2794
108	340	2782
109	342	2768
110	344	2756
111	345	2742
112	347	2730
113	349	2719
114	351	2707
115	353	2695
116	355	2684
117	357	2672
118	359	2660
119	361	2648
120	363	2638
121	365	2630
122	367	2620
123	368	2603
124	370	2593
125	372	2582
126	374	2570
127	375	2560
128	377	2550
129	379	2541
130	381	2533
131	383	2523
132	385	2514
133	387	2505
134	389	2495
135	391	2486
136	393	2478
137	395	2472
138	397	2464
139	399	2456
140	401	2448
141	403	2437
142	405	2427
143	406	2419
144	408	2411
145	411	2404
146	413	2397
147	415	2390
148	417	2382
149	418	2374
150	420	2366
151	423	2360
152	424	2352
153	427	2346
154	429	2340
155	431	2334
156	433	2327
157	435	2320
158	437	2314
159	439	2307
160	441	2300
